Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions	Id	Common-Name
glycolysis IV	Generation of Precursor Metabolites and Energy	Glycolysis	Bacteria <bacteria> // Viridiplantae	Brassica napus // Brassica nigra // Glycine max // Hevea brasiliensis // Musa acuminata // Pisum sativum // Ricinus communis // Secale cereale // Solanum tuberosum // Spinacia oleracea // Triticum aestivum // Vigna radiata // Zea mays // Arabidopsis thaliana	"D-glyceraldehyde 3-phosphate + NADP+ + H2O  ->  3-phospho-D-glycerate + NADPH + 2 H+ // pyruvate + ATP  <-  phosphoenolpyruvate + ADP + H+ // 2-phospho-D-glycerate  <-->  phosphoenolpyruvate + H2O // 2-phospho-D-glycerate  <-->  3-phospho-D-glycerate // 3-phospho-D-glycerate + ATP  <-->  3-phospho-D-glyceroyl phosphate + ADP // D-glyceraldehyde 3-phosphate + NAD+ + phosphate  <-->  3-phospho-D-glyceroyl phosphate + NADH + H+ // D-glyceraldehyde 3-phosphate  <-->  glycerone phosphate // beta-D-fructofuranose 1,6-bisphosphate  <-->  glycerone phosphate + D-glyceraldehyde 3-phosphate // beta-D-fructofuranose 6-phosphate + diphosphate  <-->  beta-D-fructofuranose 1,6-bisphosphate + phosphate + H+ // ATP + beta-D-fructofuranose 6-phosphate  ->  ADP + beta-D-fructofuranose 1,6-bisphosphate + H+"	PWY-1042	glycolysis IV
<I>p</I>-cymene degradation to <I>p</I>-cumate	Aromatic Compound Degradation	Aromatic Compound Degradation	Proteobacteria	Pseudomonas putida // Pseudomonas sp. gs1 // Pseudomonas putida	p-cumic aldehyde + NAD+ + H2O  ->  p-cumate + NADH + 2 H+ // 4-isopropylbenzyl alcohol + NAD+  ->  p-cumic aldehyde + NADH + H+ // p-cymene + 2 a reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  4-isopropylbenzyl alcohol + 2 an oxidized ferredoxin [iron-sulfur] cluster + H2O	PWY-741	p-cymene degradation to p-cumate
<i>bis</i>(tungstenpterin) cofactor biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"	Molybdenum-Containing Cofactor Biosynthesis	Archaea // Bacteria <bacteria>	Pyrococcus abyssi // Pyrococcus furiosus	tungstate[out] + ATP + H2O  ->  tungstate[in] + ADP + phosphate + H+ // ATP + molybdopterin + H+  ->  molybdopterin adenine dinucleotide + diphosphate // molybdopterin adenine dinucleotide + tungstate + H+  ->  AMP + WO2-molybdopterin cofactor + H2O // WO2-molybdopterin cofactor + molybdopterin + H+  ->  bis(tungstenpterin) cofactor + H2O	PWY-8167	bis(tungstenpterin) cofactor biosynthesis
"cholesterol biosynthesis II (via 24,25-dihydrolanosterol)"	Superpathways // Fatty Acid and Lipid Biosynthesis	Sterol Biosynthesis // Superpathways	Metazoa	Homo sapiens	"4&alpha;-methyl-cholesta-8-enol 4- monooxygenase // 4,4-dimethyl-5alpha-cholesta-8-en-3beta-ol + 6 a ferrocytochrome b5 + 3 dioxygen + 5 H+  ->  4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol + 6 a ferricytochrome b5 + 4 H2O // 24,25-dihydrolanosterol 14-demethylase // lanosterol biosynthesis // lathosterol + 2 a ferrocytochrome b5 + dioxygen + 2 H+  ->  7-dehydrocholesterol + 2 a ferricytochrome b5 + 2 H2O // epoxysqualene biosynthesis // cholesterol + NADP+  <-  7-dehydrocholesterol + NADPH + H+ // lathosterol  <-->  zymostenol // zymostenol 3-dehydrogenase // 4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol + NAD(P)+  ->  5alpha-cholesta-8-en-3-one + CO2 + NAD(P)H // 4alpha-methyl-5alpha-cholesta-8-en-3-ol + NADP+  <-  4alpha-methyl-5alpha-cholesta-8-en-3-one + NADPH + H+ // 4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol + NAD(P)+  ->  4alpha-methyl-5alpha-cholesta-8-en-3-one + CO2 + NAD(P)H // 4,4-dimethyl-5alpha-cholesta-8-en-3beta-ol + NADP+  <-  4,4-dimethyl-5-alpha-cholesta-8,14-dien-3-beta-ol + NADPH + H+ // 24,25-dihydrolanosterol + NADP+  <-  lanosterol + NADPH + H+"	PWY66-3	"cholesterol biosynthesis II (via 24,25-dihydrolanosterol)"
biphenyl degradation	Aromatic Compound Degradation	Aromatic Compound Degradation	Bacteria <bacteria>	Rhodococcus jostii	"2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate  ->  2,6-dioxo-6-phenylhexa-3-enoate // 2,6-dioxo-6-phenylhexa-3-enoate + H2O  ->  (2Z)-2-hydroxypenta-2,4-dienoate + benzoate + H+ // biphenyl-2,3-diol + dioxygen  ->  2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate + H+ // cis-3-phenylcyclohexa-3,5-diene-1,2-diol + NAD+  ->  biphenyl-2,3-diol + NADH + H+ // biphenyl + NADH + dioxygen + H+  ->  cis-3-phenylcyclohexa-3,5-diene-1,2-diol + NAD+"	PWY5F9-12	biphenyl degradation
adenine and adenosine salvage VI	Nucleoside and Nucleotide Biosynthesis	Adenine and Adenosine Salvage	Eukaryota // Bacteria <bacteria> // Archaea	Halobacterium salinarum // Homo sapiens // Mycoplasma pneumoniae // Arabidopsis thaliana	adenosine + ATP  ->  AMP + ADP + H+	PWY-6619	adenine and adenosine salvage VI
lanosterol biosynthesis	Fatty Acid and Lipid Biosynthesis	Sterol Biosynthesis	Planctomycetales // Cyanobacteria // Bacteroidetes <Bacteroidetes> // Opisthokonta // Proteobacteria // Planctomycetes <Planctomycetes>	Enhygromyxa salina // Eudoraea adriatica // Gemmata obscuriglobus // Homo sapiens // Methylobacter luteus // Methylobacter whittenburyi // Methylococcus capsulatus // Methylotuvimicrobium alcaliphilum // Methylomicrobium lacus // Methylosphaera hansonii // Nannocystis exedens // Plesiocystis pacifica // Saccharomyces cerevisiae // Sandaracinus amylolyticus	"(3S)-2,3-epoxy-2,3-dihydrosqualene  ->  lanosterol"	PWY-6132	lanosterol biosynthesis
glycolysis V (Pyrococcus)	Generation of Precursor Metabolites and Energy	Glycolysis	Archaea	Pyrococcus abyssi // Pyrococcus furiosus // Pyrococcus horikoshii // Pyrococcus woesei	"pyruvate + ATP + H2O  <-->  phosphoenolpyruvate + AMP + phosphate + 2 H+ // alpha-D-glucose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate // D-glucopyranose + ADP  ->  D-glucopyranose 6-phosphate + AMP + H+ // D-glyceraldehyde 3-phosphate + 2 an oxidized ferredoxin [iron-sulfur] cluster + H2O  ->  3-phospho-D-glycerate + 2 a reduced ferredoxin [iron-sulfur] cluster + 3 H+ // pyruvate + ATP  <-  phosphoenolpyruvate + ADP + H+ // 2-phospho-D-glycerate  <-->  phosphoenolpyruvate + H2O // 2-phospho-D-glycerate  <-->  3-phospho-D-glycerate // D-glyceraldehyde 3-phosphate  <-->  glycerone phosphate // beta-D-fructofuranose 1,6-bisphosphate  <-->  glycerone phosphate + D-glyceraldehyde 3-phosphate // beta-D-fructofuranose 6-phosphate + ADP  <-->  beta-D-fructofuranose 1,6-bisphosphate + AMP + H+"	P341-PWY	glycolysis V (Pyrococcus)
ethylbenzene degradation (anaerobic)	Aromatic Compound Degradation	Aromatic Compound Degradation	Proteobacteria	Aromatoleum bremense // Aromatoleum aromaticum // Azoarcus sp. EB1	benzoyl-CoA + acetyl-CoA  <-  3-oxo-3-phenylpropanoyl-CoA + coenzyme A // 3-oxo-3-phenylpropanoate + ATP + coenzyme A  ->  3-oxo-3-phenylpropanoyl-CoA + AMP + diphosphate // acetophenone + hydrogencarbonate + 2 ATP + H2O  ->  3-oxo-3-phenylpropanoate + 2 ADP + 2 phosphate + 2 H+ // (S)-1-phenylethanol + NAD+  <-->  acetophenone + NADH + H+ // ethylbenzene + an oxidized electron carrier + H2O  ->  (S)-1-phenylethanol + a reduced two electron carrier	PWY-481	ethylbenzene degradation (anaerobic)
arsenate reduction (respiratory)	Generation of Precursor Metabolites and Energy	Anaerobic Respiration	Bacteria <bacteria>	Anaerobacillus arseniciselenatis // Chrysiogenes arsenatis // Desulfitobacterium hafniense // Shewanella sp. ANA-3 // Sulfurospirillum arsenophilum // Sulfurospirillum barnesii // Wolinella succinogenes // Salisediminibacterium selenitireducens	arsenous acid + an oxidized electron carrier + H2O  <-->  arsenate + a reduced two electron carrier + 2 H+	PWY-4601	arsenate reduction (respiratory)
superpathway of cholesterol biosynthesis	Superpathways // Fatty Acid and Lipid Biosynthesis	Sterol Biosynthesis // Superpathways	Metazoa	Homo sapiens	"mevalonate pathway I (eukaryotes and bacteria) // <i>trans, trans</i>-farnesyl diphosphate biosynthesis // cholesterol biosynthesis III (via desmosterol) // cholesterol biosynthesis II (via 24,25-dihydrolanosterol) // cholesterol biosynthesis I"	PWY66-5	superpathway of cholesterol biosynthesis
chlorogenic acid degradation	Aromatic Compound Degradation	Aromatic Compound Degradation	cellular organisms	Acinetobacter baumannii // Burkholderia mallei // Aspergillus niger	trans-5-O-caffeoyl-D-quinate + H2O  ->  trans-caffeate + L-quinate + H+	PWY-6781	chlorogenic acid degradation
adenine and adenosine salvage II	Nucleoside and Nucleotide Biosynthesis	Adenine and Adenosine Salvage	Eukaryota // Bacteria <bacteria>	Hordeum vulgare // Escherichia coli // Lupinus luteus // Arabidopsis thaliana	adenosine + H2O  ->  D-ribofuranose + adenine // AMP + diphosphate  <-  adenine + 5-phospho-alpha-D-ribose 1-diphosphate	PWY-6605	adenine and adenosine salvage II
allopregnanolone biosynthesis	Fatty Acid and Lipid Biosynthesis	Sterol Biosynthesis	Mammalia	Homo sapiens	allopregnanolone + NAD(P)+  <-  5alpha-dihydroprogesterone + NAD(P)H + H+ // 5alpha-dihydroprogesterone + NADP+  <-  progesterone + NADPH + H+	PWY-7455	allopregnanolone biosynthesis
glycolysis VI (from fructose)	Generation of Precursor Metabolites and Energy	Glycolysis	Mammalia	Heterocephalus glaber // Homo sapiens	D-glyceraldehyde + ATP  ->  D-glyceraldehyde 3-phosphate + ADP + H+ // D-fructose[extracellular space] + H+[extracellular space]  ->  D-fructose[cytosol] + H+[cytosol] // beta-D-fructofuranose 1-phosphate  <-->  glycerone phosphate + D-glyceraldehyde // beta-D-fructofuranose + ATP  ->  beta-D-fructofuranose 1-phosphate + ADP + H+ // 2-phospho-D-glycerate  <-->  3-phospho-D-glycerate // 2-phospho-D-glycerate  <-->  3-phospho-D-glycerate // pyruvate + ATP  <-  phosphoenolpyruvate + ADP + H+ // 2-phospho-D-glycerate  <-->  phosphoenolpyruvate + H2O // 3-phospho-D-glycerate + ATP  <-->  3-phospho-D-glyceroyl phosphate + ADP // D-glyceraldehyde 3-phosphate + NAD+ + phosphate  <-->  3-phospho-D-glyceroyl phosphate + NADH + H+ // D-glyceraldehyde 3-phosphate  <-->  glycerone phosphate	PWY-8404	glycolysis VI (from fructose)
(-)-dehydrodiconiferyl alcohol degradation	Aromatic Compound Degradation	Aromatic Compound Degradation	Bacteria <bacteria>	Sphingobium sp. SYK-6 // Sphingomonas paucimobilis	"(-)-dehydrodiconiferyl acid aldehyde + H2O  <-->  (-)-dehydrodiconiferyl acid aldehyde gem-diol // (-)-dehydrodiconiferyl acid aldehyde gem-diol + an electron-transfer quinone  ->  (-)-dehydrodiconiferyl acid carboxylate + an electron-transfer quinol + H+ // (-)-dehydrodiconiferyl acid + an electron-transfer quinone  ->  (-)-dehydrodiconiferyl acid aldehyde + an electron-transfer quinol // (-)-dehydrodiconiferyl alcohol + NAD+  ->  (-)-dehydrodiconiferyl aldehyde + NADH + H+ // (-)-dehydrodiconiferyl aldehyde + NAD+ + H2O  ->  (-)-dehydrodiconiferyl acid + NADH + 2 H+ // (-)-dehydrodiconiferyl acid carboxylate + H+  ->  4,2'-dihydroxy-3,3'-dimethoxy-5'-(2''-carboxyvinyl)stilbene + CO2 // 4,2'-dihydroxy-3,3'-dimethoxy-5'-(2''-carboxyvinyl)stilbene + dioxygen  ->  5-formylferulate + vanillin"	PWY-7557	(-)-dehydrodiconiferyl alcohol degradation
carotenoid cleavage	Metabolic Clusters // Secondary Metabolite Degradation	Metabolic Clusters // Terpenoid Degradation	Cyanobacteria // Opisthokonta // Rhodophyta // Viridiplantae	Bixa orellana // Crocus sativus // Oryza sativa // Arabidopsis thaliana	"<i>all-trans</i>-10'-apo-&beta;-carotenal dioxygenase // all-trans-lycopene + 2 dioxygen  ->  4,9-dimethyldodeca-2,4,6,8,10-pentaene-1,12-dial + 2 pseudoionone // all-trans-lycopene + 2 dioxygen  ->  8',10-diapocarotene-8',10-dial + pseudoionone + geranial // all-trans-lycopene + 2 dioxygen  ->  pseudoionone + 10',6-diapocarotene-10',6-dial + sulcatone // zeaxanthin + 2 dioxygen  ->  8',8-diapocarotene-8',8-dial + 2 3beta-hydroxy-beta-cyclocitral // all-trans-lycopene + 2 dioxygen  ->  2 sulcatone + bixin aldehyde // violaxanthin + 2 dioxygen  ->  2 5,6-epoxy-3-hydroxy-9-apo-beta-caroten-9-one + 4,9-dimethyldodeca-2,4,6,8,10-pentaene-1,12-dial // zeaxanthin + 2 dioxygen  ->  2 3-hydroxy-beta-ionone + 4,9-dimethyldodeca-2,4,6,8,10-pentaene-1,12-dial // lutein + 2 dioxygen  ->  3-hydroxy-beta-ionone + 3-hydroxy-9-apo-delta-caroten-9-one + 4,9-dimethyldodeca-2,4,6,8,10-pentaene-1,12-dial // <i>all-trans</i>-&beta;-apo-10'-carotenal 13,14-cleaving dioxygenase // <i>all-trans</i>-&beta;-carotene-9',10'-cleaving dioxygenase"	PWY-6806	carotenoid cleavage
hydrogen to trimethylamine N-oxide electron transfer	Generation of Precursor Metabolites and Energy	Anaerobic Respiration // Electron Transfer Chains	Bacteria <bacteria> // Archaea	Escherichia coli	a menaquinone[membrane] + H+[in] + H2[out]  <-->  a menaquinol[membrane] + H+[out] // Trimethylamine-N-oxide reductase (menaquinone)	PWY0-1578	hydrogen to trimethylamine N-oxide electron transfer
parkeol biosynthesis	Fatty Acid and Lipid Biosynthesis	Sterol Biosynthesis	Holothuroidea // Viridiplantae // Planctomycetes <Planctomycetes>	Gemmata obscuriglobus // Oryza sativa	"(3S)-2,3-epoxy-2,3-dihydrosqualene  ->  parkeol"	PWY-8027	parkeol biosynthesis
4-hydroxymandelate degradation	Aromatic Compound Degradation	Aromatic Compound Degradation	Fungi // Bacteria <bacteria>	Aspergillus niger // Pseudomonas fluorescens // Pseudomonas putida	4-hydroxybenzoate + NADPH + dioxygen + H+  ->  protocatechuate + NADP+ + H2O // 4-hydroxybenzaldehyde + NADP+ + H2O  ->  4-hydroxybenzoate + NADPH + 2 H+ // 4-hydroxybenzaldehyde + NAD+ + H2O  ->  4-hydroxybenzoate + NADH + 2 H+ // Hydroxybenzoylformate decarboxylase // (S)-4-hydroxymandelate + an electron-transfer quinone  ->  4-hydroxyphenylglyoxylate + an electron-transfer quinol // hydroxymandelate racemase	4-HYDROXYMANDELATE-DEGRADATION-PWY	4-hydroxymandelate degradation
adenine and adenosine salvage V	Nucleoside and Nucleotide Biosynthesis	Adenine and Adenosine Salvage	Bacteria <bacteria>	Escherichia coli	inosine + ATP  ->  IMP + ADP + H+ // adenosine + H2O + H+  ->  inosine + ammonium // adenosine + phosphate  <-->  adenine + alpha-D-ribose-1-phosphate	PWY-6611	adenine and adenosine salvage V
ginsenoside degradation III	Secondary Metabolite Degradation	Terpenoid Degradation	Panax	Panax ginseng	(20S)-ginsenoside Rg3 + H2O  ->  (20S)-ginsenoside Rh2 + D-glucopyranose	PWY-6413	ginsenoside degradation III
tetrahydropteridine recycling	"Cofactor, Carrier, and Vitamin Biosynthesis"	Carrier Biosynthesis	Fungi // Mammalia // Bacteria <bacteria>	Chromobacterium violaceum // Homo sapiens	"a 5,6,7,8-tetrahydrobiopterin + NAD(P)+  <-  a 6,7-dihydrobiopterin + NAD(P)H + H+ // a 4a-hydroxytetrahydrobiopterin  ->  a 6,7-dihydrobiopterin + H2O"	PWY-8099	tetrahydropteridine recycling
digitoxigenin biosynthesis	Fatty Acid and Lipid Biosynthesis	Sterol Biosynthesis	Digitalis	Digitalis lanata // Digitalis purpurea	"digitoxigenin + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  gitoxigenin + an oxidized [NADPH-hemoprotein reductase] + H2O // malonyl-CoA + 3beta,14beta,21-trihydroxy-5beta-pregnane-20-one  ->  3beta,14beta-dihydroxy-5beta-pregnane-20-one-21-O-malonylhemiester + coenzyme A // (20,21)-dihydro-20-hydroxydigitoxigenin  ->  digitoxigenin + H2O // 3beta,14beta-dihydroxy-5beta-pregnane-20-one-21-O-malonylhemiester + H+  ->  (20,21)-dihydro-20-hydroxydigitoxigenin + CO2 // 5beta-pregnane-3beta,14beta-diol-20-one + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  3beta,14beta,21-trihydroxy-5beta-pregnane-20-one + an oxidized [NADPH-hemoprotein reductase] + H2O // 3beta-hydroxy-5beta-pregnane-20-one + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  5beta-pregnane-3beta,14beta-diol-20-one + an oxidized [NADPH-hemoprotein reductase] + H2O // 3beta-hydroxy-5beta-pregnane-20-one + NADP+  <-->  5beta-pregnan-3,20 dione + NADPH + H+ // progesterone + NADPH + H+  ->  5beta-pregnan-3,20 dione + NADP+ // 3beta-hydroxy-5alpha-pregnane-20-one + NADP+  <-->  5alpha-dihydroprogesterone + NADPH + H+ // 5alpha-dihydroprogesterone + NADP+  <-  progesterone + NADPH + H+"	PWY-6032	digitoxigenin biosynthesis
glycolysis I (from glucose 6-phosphate)	Generation of Precursor Metabolites and Energy	Glycolysis	Eukaryota // Bacteria <bacteria> // Archaea	Brassica napus // Escherichia coli // Mycoplasma pneumoniae // Ricinus communis // Saccharomyces cerevisiae // Spinacia oleracea // Zea mays // Arabidopsis thaliana	"transport of &beta;-D-glucose by PTS // 2-phospho-D-glycerate  <-->  3-phospho-D-glycerate // beta-D-fructofuranose 1,6-bisphosphate + H2O  ->  beta-D-fructofuranose 6-phosphate + phosphate // pyruvate + ATP + H2O  <-->  phosphoenolpyruvate + AMP + phosphate + 2 H+ // alpha-D-glucose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate // ATP + beta-D-fructofuranose 6-phosphate  ->  ADP + beta-D-fructofuranose 1,6-bisphosphate + H+ // beta-D-fructofuranose 1,6-bisphosphate  <-->  glycerone phosphate + D-glyceraldehyde 3-phosphate // D-glyceraldehyde 3-phosphate  <-->  glycerone phosphate // D-glyceraldehyde 3-phosphate + NAD+ + phosphate  <-->  3-phospho-D-glyceroyl phosphate + NADH + H+ // 3-phospho-D-glycerate + ATP  <-->  3-phospho-D-glyceroyl phosphate + ADP // 2-phospho-D-glycerate  <-->  3-phospho-D-glycerate // 2-phospho-D-glycerate  <-->  phosphoenolpyruvate + H2O // pyruvate + ATP  <-  phosphoenolpyruvate + ADP + H+"	GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)
<I>p</I>-cymene degradation	Superpathways // Aromatic Compound Degradation	Aromatic Compound Degradation // Superpathways	Proteobacteria	Pseudomonas putida // Pseudomonas putida	"2-hydroxypenta-2,4-dienoate degradation // <I>p</I>-cumate degradation to 2-hydroxypentadienoate // <I>p</I>-cymene degradation to <I>p</I>-cumate"	PWY-5266	p-cymene degradation
geraniol and nerol degradation	Secondary Metabolite Degradation	Terpenoid Degradation	Fungi	Penicillium digitatum // Penicillium digitatum	neral + H2O  ->  sulcatone + acetaldehyde // geranial + NAD+ + H2O  <-->  geranate + NADH + 2 H+ // geranial  <-->  neral // nerol + NAD+  <-->  neral + NADH + H+ // geranal lyase // geraniol + NAD+  <-->  geranial + NADH + H+	PWY-6678	geraniol and nerol degradation
perchlorate reduction	Generation of Precursor Metabolites and Energy	Anaerobic Respiration	Bacteria <bacteria>	Azospirillum sp. TTI // Dechloromonas agitata // Dechloromonas aromatica // Dechloromonas sp. MissR // Dechloromonas sp. PC1 // Azospira sp. KJ // Azospira sp. PCC	perchlorate + 2 a reduced two electron carrier  ->  chlorite + 2 an oxidized electron carrier + 2 H2O // chloride + dioxygen  <-->  chlorite	PWY-6530	perchlorate reduction
malonate decarboxylase activation	"Cofactor, Carrier, and Vitamin Biosynthesis"	Carrier Biosynthesis	Bacteria <bacteria>	Klebsiella pneumoniae	2'-(5''-triphospho-alpha-D-ribosyl)-3'-dephospho-CoA + [a malonate decarboxylase acyl-carrier protein]  ->  [a holo malonate decarboxylase acyl-carrier-protein] + diphosphate // 3'-dephospho-CoA + ATP  ->  2'-(5''-triphospho-alpha-D-ribosyl)-3'-dephospho-CoA + adenine	PWY-5796	malonate decarboxylase activation
"cholesterol biosynthesis (plants, early side-chain reductase)"	Fatty Acid and Lipid Biosynthesis	Sterol Biosynthesis	Viridiplantae	Nicotiana benthamiana // Solanum lycopersicum // Solanum tuberosum	"4alpha-methyl-5alpha-cholest-7-en-3beta-ol + 6 a ferrocytochrome b5 + 3 dioxygen + 5 H+  ->  4alpha-carboxy-5alpha-cholest-7-en-3beta-ol + 6 a ferricytochrome b5 + 4 H2O // 4alpha,14alpha-dimethyl-cholesta-8-enol + 3 a reduced [NADPH-hemoprotein reductase] + 3 dioxygen  ->  4alpha-methyl-cholesta-8,14-dienol + formate + 3 an oxidized [NADPH-hemoprotein reductase] + 4 H2O + H+ // cycloartanol + NADP+  <-  cycloartenol + NADPH + H+ // cycloartanol + 6 a ferrocytochrome b5 + 3 dioxygen + 5 H+  ->  (3beta,9beta)-4alpha-demethyl-4alpha-carboxy-9,19-cyclolanost-3-ol + 6 a ferricytochrome b5 + 4 H2O // cholesterol + NADP+  <-  7-dehydrocholesterol + NADPH + H+ // lathosterol + 2 a ferrocytochrome b5 + dioxygen + 2 H+  ->  7-dehydrocholesterol + 2 a ferricytochrome b5 + 2 H2O // lathosterol + NADP+  <-  lathosterone + NADPH + H+ // 4alpha-carboxy-5alpha-cholest-7-en-3beta-ol + NAD+  ->  lathosterone + CO2 + NADH // 4alpha-methyl-5alpha-cholest-7-en-3beta-ol  <-->  4alpha-methyl-5alpha-cholesta-8-en-3-ol // 4alpha-methyl-5alpha-cholesta-8-en-3-ol + NADP+  <-  4alpha-methyl-cholesta-8,14-dienol + NADPH + H+ // 31-norcycloartanol  ->  4alpha,14alpha-dimethyl-cholesta-8-enol // 31-norcycloartanol + NADP+  <-  31-norcycloartanone + NADPH + H+ // (3beta,9beta)-4alpha-demethyl-4alpha-carboxy-9,19-cyclolanost-3-ol + NAD+  ->  31-norcycloartanone + CO2 + NADH"	PWY18C3-1	"cholesterol biosynthesis (plants, early side-chain reductase)"
